Time,T-i,H-i,T-e,H-e
11/27/21 00:54:55,87.4,28.2%,74.7,44.5%
11/27/21 00:55:06,87.4,28.2%,74.7,44.5%
11/27/21 00:55:22,87.4,28.2%,74.7,44.5%
11/27/21 00:55:33,87.4,28.2%,74.7,44.5%
11/27/21 00:55:44,87.4,28.1%,74.5,44.5%
11/27/21 00:56:02,87.4,28.1%,74.5,44.5%
11/27/21 00:56:17,87.4,28.1%,74.5,44.5%
11/27/21 00:56:32,87.4,28.0%,74.5,44.6%
11/27/21 00:56:46,87.4,28.0%,74.5,45.0%
11/27/21 00:57:04,87.4,28.1%,74.7,45.6%
11/27/21 00:57:15,87.4,28.2%,75.0,46.3%
11/27/21 00:57:26,87.4,28.2%,75.2,46.8%
11/27/21 00:57:37,87.4,28.3%,75.4,47.1%
11/27/21 00:57:48,87.4,28.5%,75.6,47.5%
11/27/21 00:58:03,87.4,28.6%,75.7,47.9%
11/27/21 00:58:18,87.4,28.8%,75.9,48.0%
11/27/21 00:58:33,87.4,28.8%,76.1,47.6%
11/27/21 00:58:48,87.4,28.8%,76.1,47.2%
11/27/21 00:59:03,87.4,28.8%,76.1,47.0%
11/27/21 00:59:18,87.4,28.8%,76.1,47.2%
11/27/21 00:59:33,87.4,28.9%,76.1,47.6%
11/27/21 00:59:48,87.4,28.9%,76.3,47.5%
11/27/21 01:00:08,87.4,29.0%,76.1,46.6%
11/27/21 01:00:28,87.4,29.0%,76.1,46.3%
11/27/21 01:00:43,87.4,29.0%,76.1,46.2%
11/27/21 01:00:58,87.4,29.0%,76.1,46.0%
11/27/21 01:01:13,87.4,29.0%,76.1,45.7%
11/27/21 01:01:28,87.4,29.0%,76.1,45.5%
11/27/21 01:01:43,87.4,29.0%,76.1,45.4%
11/27/21 01:01:58,87.4,28.9%,75.9,45.2%
11/27/21 01:02:13,87.4,28.9%,75.9,45.1%
11/27/21 01:02:28,87.4,28.9%,75.9,45.0%
11/27/21 01:02:43,87.4,28.9%,75.9,45.0%
11/27/21 01:02:57,87.4,28.8%,75.9,44.9%
11/27/21 01:03:12,87.4,28.8%,75.7,44.8%
11/27/21 01:03:27,87.4,28.8%,75.7,44.8%
11/27/21 01:03:42,87.4,28.8%,75.7,44.7%
11/27/21 01:03:57,87.4,28.7%,75.7,44.7%
11/27/21 01:04:12,87.4,28.7%,75.6,44.6%
11/27/21 01:04:27,87.4,28.6%,75.6,44.5%
11/27/21 01:04:42,87.4,28.6%,75.6,44.5%
11/27/21 01:04:57,87.4,28.6%,75.4,44.4%
11/27/21 01:05:08,87.4,28.6%,75.4,44.4%
11/27/21 01:05:19,87.4,28.5%,75.4,44.4%
11/27/21 01:05:30,87.4,28.5%,75.4,44.4%
